S05S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
013-01-C2-G\LM_EOBO\2.9FFO_Jet      2.14e-06    318.5   8.38e-05
013-01-N2-G\LM_EOBX\2.9FFO_Jet      9.56e-09    318.2   8.38e-05
013-01-N1-G\LM_EOBO\2.9FFO_Jet      2.13e-06    312.0   8.59e-05
013-01-N2-G\LM_EOBO\2.9FFO_Jet      1.90e-06    305.9   8.78e-05
013-01-N1-G\SM_EXBX\7.7DFX_Jet      1.78e-07    299.2   8.80e-05
013-01-N1-G\SM_EXBX\7.7DFO_Jet      8.03e-11    299.2   8.80e-05
020-05-01-G\LA_EXBX\14.5DFX_Jet     2.26e-10    298.7   8.80e-05
020-05-01-G\LA_EXBX\14.5DFO_Jet     1.13e-11    298.7   8.80e-05
020-05-01-G\LA_EXBX\7.7DFX_Jet      2.42e-09    296.2   8.80e-05
020-05-01-G\LA_EXBX\7.7DFO_Jet      1.20e-10    296.2   8.80e-05
013-01-N1-G\SM_EOBX\14.5DFO_Jet     7.43e-10    295.8   8.80e-05
020-05-01-G\LA_EXBX\2.9FFX_Jet      2.50e-09    293.6   8.80e-05
020-05-01-G\LA_EXBX\2.9FFO_Jet      1.24e-10    293.6   8.80e-05
020-05-01-G\LA_EXBO\14.5DFO_Jet     2.24e-09    293.0   8.80e-05
020-05-01-G\LA_EXBO\7.7DFO_Jet      2.40e-08    290.9   8.81e-05
013-01-C1-G\LM_EOBX\14.5DFO_Jet     8.82e-10    289.6   8.81e-05
020-05-01-G\LA_EXBO\2.9FFO_Jet      2.47e-08    287.9   8.81e-05
020-05-01-G\MA_EOBX\14.5DFO_Jet     1.51e-10    284.3   8.81e-05
013-01-C1-G\LM_EOBO\14.5DFO_Jet     1.76e-07    282.8   8.83e-05
020-05-01-G\MA_EOBX\7.7DFO_Jet      1.61e-09    279.4   8.83e-05
013-01-C1-G\LM_EOBX\7.7DFO_Jet      9.44e-09    276.7   8.83e-05
013-01-N2-G\SM_EXBO\14.5DFO_Jet     1.31e-09    275.7   8.83e-05
020-05-01-G\MA_EOBO\14.5DFO_Jet     3.00e-08    275.3   8.83e-05
020-05-01-G\MA_EOBX\2.9FFO_Jet      1.66e-09    274.3   8.83e-05
020-05-01-G\MA_EOBO\7.7DFO_Jet      3.21e-07    270.6   8.86e-05
013-01-C1-G\LM_EOBO\7.7DFO_Jet      1.88e-06    270.5   9.05e-05
013-01-C1-G\LM_EOBX\2.9FFO_Jet      9.74e-09    266.1   9.05e-05
020-05-01-G\MA_EOBO\2.9FFO_Jet      3.31e-07    266.0   9.08e-05
013-01-C1-G\LM_EOBO\2.9FFO_Jet      1.94e-06    260.5   9.28e-05
013-01-C2-G\SM_EXBO\14.5DFO_Jet     1.45e-09    244.3   9.28e-05
020-05-01-G\LA_EOBX\14.5DFO_Jet     2.14e-10    220.1   9.28e-05
020-05-01-G\LA_EOBX\7.7DFO_Jet      2.29e-09    218.7   9.28e-05
020-05-01-G\LA_EOBO\14.5DFO_Jet     4.25e-08    217.6   9.28e-05
020-05-01-G\LA_EOBX\2.9FFO_Jet      2.36e-09    217.2   9.28e-05
020-05-01-G\LA_EOBO\7.7DFO_Jet      4.55e-07    216.2   9.33e-05
020-05-01-G\LA_EOBO\2.9FFO_Jet      4.70e-07    214.8   9.38e-05
013-01-N2-G\SM_EOBX\14.5DFO_Jet     6.51e-10    193.5   9.38e-05
013-01-C1-G\SM_EXBX\14.5DFX_Jet     1.49e-08    191.4   9.38e-05
013-01-C1-G\SM_EXBX\14.5DFO_Jet     6.70e-12    191.4   9.38e-05
013-01-N1-G\SM_EXBO\7.7DFO_Jet      1.60e-08    186.0   9.38e-05
013-01-N1-G\SM_EOBO\14.5DFO_Jet     1.48e-07    185.2   9.39e-05
020-01-01-G\SM_EXBO\14.5DFO_Jet     1.36e-09    179.5   9.39e-05
013-01-C2-G\SM_EOBX\14.5DFO_Jet     7.21e-10    178.2   9.39e-05
020-01-01-G\SM_EOBO\14.5DFO_Jet     1.35e-07    172.5   9.41e-05
